model,method,bsz,prompt_len,stage,thr
meta-llama-Llama-2-7b-hf,None-16,1,256,prefill,4151.643960739159
meta-llama-Llama-2-7b-hf,None-16,2,256,prefill,5132.818867786682
meta-llama-Llama-2-7b-hf,None-16,4,256,prefill,5406.02073545464
meta-llama-Llama-2-7b-hf,None-16,8,256,prefill,5888.780346712997
meta-llama-Llama-2-7b-hf,None-16,16,256,prefill,5849.636572467801
meta-llama-Llama-2-7b-hf,None-16,1,512,prefill,5200.565578665156
meta-llama-Llama-2-7b-hf,None-16,2,512,prefill,5441.488053818922
meta-llama-Llama-2-7b-hf,None-16,4,512,prefill,5699.982009914188
meta-llama-Llama-2-7b-hf,None-16,8,512,prefill,5740.35
meta-llama-Llama-2-7b-hf,None-16,16,512,prefill,5650.345038551842
meta-llama-Llama-2-7b-hf,None-16,1,1024,prefill,5195.588401008509
meta-llama-Llama-2-7b-hf,None-16,2,1024,prefill,5411.073821838376
meta-llama-Llama-2-7b-hf,None-16,4,1024,prefill,5493.208653370143
meta-llama-Llama-2-7b-hf,None-16,8,1024,prefill,5514.077787240156
meta-llama-Llama-2-7b-hf,None-16,16,1024,prefill,5510.639225774015
meta-llama-Llama-2-7b-hf,None-16,1,2048,prefill,5249.5735273929695
meta-llama-Llama-2-7b-hf,None-16,2,2048,prefill,5155.605274937103
meta-llama-Llama-2-7b-hf,None-16,4,2048,prefill,5086.263916867721
meta-llama-Llama-2-7b-hf,None-16,8,2048,prefill,5254.213468831154
meta-llama-Llama-2-7b-hf,None-16,16,2048,prefill,5081.944934085739
meta-llama-Llama-2-7b-hf,None-16,1,3072,prefill,4841.909663510591
meta-llama-Llama-2-7b-hf,None-16,2,3072,prefill,4912.339577130824
meta-llama-Llama-2-7b-hf,None-16,4,3072,prefill,4777.269647838639
meta-llama-Llama-2-7b-hf,None-16,8,3072,prefill,4899.294305563827
meta-llama-Llama-2-7b-hf,None-16,1,4000,prefill,4447.642119642312
meta-llama-Llama-2-7b-hf,None-16,2,4000,prefill,4463.190113073847
meta-llama-Llama-2-7b-hf,None-16,4,4000,prefill,4462.385453579939
meta-llama-Llama-2-7b-hf,None-16,8,4000,prefill,4595.627694991187
meta-llama-Llama-2-7b-hf,None-16,1,321,decoding,29.805765875548843
meta-llama-Llama-2-7b-hf,None-16,2,256,decoding,60.139628098130146
meta-llama-Llama-2-7b-hf,None-16,4,256,decoding,122.35253604869558
meta-llama-Llama-2-7b-hf,None-16,8,256,decoding,235.84056485422587
meta-llama-Llama-2-7b-hf,None-16,16,256,decoding,431.1145574257984
meta-llama-Llama-2-7b-hf,None-16,1,577,decoding,30.497161266980527
meta-llama-Llama-2-7b-hf,None-16,2,512,decoding,55.25646395535865
meta-llama-Llama-2-7b-hf,None-16,4,512,decoding,114.90922573030802
meta-llama-Llama-2-7b-hf,None-16,8,512,decoding,204.61891420118528
meta-llama-Llama-2-7b-hf,None-16,16,512,decoding,399.02259294736854
meta-llama-Llama-2-7b-hf,None-16,1,1089,decoding,27.034262292787304
meta-llama-Llama-2-7b-hf,None-16,2,1024,decoding,57.62369655641304
meta-llama-Llama-2-7b-hf,None-16,4,1024,decoding,109.17833078711907
meta-llama-Llama-2-7b-hf,None-16,8,1024,decoding,200.79615650517297
meta-llama-Llama-2-7b-hf,None-16,16,1024,decoding,328.6359911096111
meta-llama-Llama-2-7b-hf,None-16,1,2113,decoding,26.876976920311733
meta-llama-Llama-2-7b-hf,None-16,2,2048,decoding,56.74768693563517
meta-llama-Llama-2-7b-hf,None-16,4,2048,decoding,100.07369773822799
meta-llama-Llama-2-7b-hf,None-16,8,2048,decoding,167.13549528387477
meta-llama-Llama-2-7b-hf,None-16,16,2048,decoding,253.22465258543582
meta-llama-Llama-2-7b-hf,None-16,1,3137,decoding,28.026748682226952
meta-llama-Llama-2-7b-hf,None-16,2,3072,decoding,53.21593587657413
meta-llama-Llama-2-7b-hf,None-16,4,3072,decoding,91.67936852953129
meta-llama-Llama-2-7b-hf,None-16,8,3072,decoding,146.50520906355732
meta-llama-Llama-2-7b-hf,None-16,16,3072,decoding,211.922370010505
meta-llama-Llama-2-7b-hf,None-16,1,4065,decoding,27.037634491905354
meta-llama-Llama-2-7b-hf,None-16,2,4000,decoding,50.94197643696058
meta-llama-Llama-2-7b-hf,None-16,4,4000,decoding,85.47948496278939
meta-llama-Llama-2-7b-hf,None-16,8,4000,decoding,130.20699582697162
meta-llama-Llama-2-13b-hf,None-16,1,256,prefill,3889.684425268925
meta-llama-Llama-2-13b-hf,None-16,2,256,prefill,4781.828463181965
meta-llama-Llama-2-13b-hf,None-16,4,256,prefill,4931.572692945239
meta-llama-Llama-2-13b-hf,None-16,8,256,prefill,5307.357505909768
meta-llama-Llama-2-13b-hf,None-16,16,256,prefill,5235.4207302785835
meta-llama-Llama-2-13b-hf,None-16,1,512,prefill,4687.395257817219
meta-llama-Llama-2-13b-hf,None-16,2,512,prefill,4917.641630940955
meta-llama-Llama-2-13b-hf,None-16,4,512,prefill,5122.877863984263
meta-llama-Llama-2-13b-hf,None-16,8,512,prefill,5075.615484998568
meta-llama-Llama-2-13b-hf,None-16,16,512,prefill,5187.260000118734
meta-llama-Llama-2-13b-hf,None-16,1,1024,prefill,4829.538937583709
meta-llama-Llama-2-13b-hf,None-16,2,1024,prefill,5032.67180526342
meta-llama-Llama-2-13b-hf,None-16,4,1024,prefill,5087.066451475672
meta-llama-Llama-2-13b-hf,None-16,8,1024,prefill,4966.253079014927
meta-llama-Llama-2-13b-hf,None-16,16,1024,prefill,4959.65707239628
meta-llama-Llama-2-13b-hf,None-16,1,2048,prefill,4817.702402653735
meta-llama-Llama-2-13b-hf,None-16,2,2048,prefill,4620.532965519749
meta-llama-Llama-2-13b-hf,None-16,4,2048,prefill,4795.464081097484
meta-llama-Llama-2-13b-hf,None-16,8,2048,prefill,4796.74829668676
meta-llama-Llama-2-13b-hf,None-16,1,3072,prefill,4392.8860198994635
meta-llama-Llama-2-13b-hf,None-16,2,3072,prefill,4492.02188143543
meta-llama-Llama-2-13b-hf,None-16,4,3072,prefill,4452.318206919522
meta-llama-Llama-2-13b-hf,None-16,1,4000,prefill,4138.168809093924
meta-llama-Llama-2-13b-hf,None-16,2,4000,prefill,4120.067051528685
meta-llama-Llama-2-13b-hf,None-16,4,4000,prefill,4110.108421922896
meta-llama-Llama-2-13b-hf,None-16,1,321,decoding,28.56949566431488
meta-llama-Llama-2-13b-hf,None-16,2,256,decoding,56.45760311467692
meta-llama-Llama-2-13b-hf,None-16,4,256,decoding,111.5149907348628
meta-llama-Llama-2-13b-hf,None-16,8,256,decoding,215.26224730656378
meta-llama-Llama-2-13b-hf,None-16,16,256,decoding,397.4602143757162
meta-llama-Llama-2-13b-hf,None-16,1,577,decoding,27.586747411855224
meta-llama-Llama-2-13b-hf,None-16,2,512,decoding,54.634515544756844
meta-llama-Llama-2-13b-hf,None-16,4,512,decoding,108.7204166092842
meta-llama-Llama-2-13b-hf,None-16,8,512,decoding,204.27782343387747
meta-llama-Llama-2-13b-hf,None-16,16,512,decoding,358.9196613937696
meta-llama-Llama-2-13b-hf,None-16,1,1089,decoding,27.89596328203171
meta-llama-Llama-2-13b-hf,None-16,2,1024,decoding,54.471391985645994
meta-llama-Llama-2-13b-hf,None-16,4,1024,decoding,103.3897752248615
meta-llama-Llama-2-13b-hf,None-16,8,1024,decoding,184.74290371434049
meta-llama-Llama-2-13b-hf,None-16,16,1024,decoding,311.96083424548897
meta-llama-Llama-2-13b-hf,None-16,1,2113,decoding,26.752502717739308
meta-llama-Llama-2-13b-hf,None-16,2,2048,decoding,51.83289711552812
meta-llama-Llama-2-13b-hf,None-16,4,2048,decoding,92.62384730263581
meta-llama-Llama-2-13b-hf,None-16,8,2048,decoding,155.74960095146562
meta-llama-Llama-2-13b-hf,None-16,1,3137,decoding,26.327718255899175
meta-llama-Llama-2-13b-hf,None-16,2,3072,decoding,48.997231875131334
meta-llama-Llama-2-13b-hf,None-16,4,3072,decoding,85.99571020221049
meta-llama-Llama-2-13b-hf,None-16,8,3072,decoding,128.32
meta-llama-Llama-2-13b-hf,None-16,1,4065,decoding,25.828370597093123
meta-llama-Llama-2-13b-hf,None-16,2,4000,decoding,46.435317371455554
meta-llama-Llama-2-13b-hf,None-16,4,4000,decoding,79.19493384272879
mistralai-Mistral-7B-v0.1,None-16,1,256,prefill,3791.7266856714227
mistralai-Mistral-7B-v0.1,None-16,2,256,prefill,5203.566779639513
mistralai-Mistral-7B-v0.1,None-16,4,256,prefill,5541.100238079516
mistralai-Mistral-7B-v0.1,None-16,8,256,prefill,5713.700858675103
mistralai-Mistral-7B-v0.1,None-16,16,256,prefill,5679.8944162476455
mistralai-Mistral-7B-v0.1,None-16,1,512,prefill,5182.987838963814
mistralai-Mistral-7B-v0.1,None-16,2,512,prefill,5372.434938257613
mistralai-Mistral-7B-v0.1,None-16,4,512,prefill,5613.213283590948
mistralai-Mistral-7B-v0.1,None-16,8,512,prefill,5653.802041010639
mistralai-Mistral-7B-v0.1,None-16,16,512,prefill,5656.825849476569
mistralai-Mistral-7B-v0.1,None-16,1,1024,prefill,5181.781698185106
mistralai-Mistral-7B-v0.1,None-16,2,1024,prefill,5403.577352046467
mistralai-Mistral-7B-v0.1,None-16,4,1024,prefill,5481.225312345824
mistralai-Mistral-7B-v0.1,None-16,8,1024,prefill,5406.491102378483
mistralai-Mistral-7B-v0.1,None-16,16,1024,prefill,5484.194591011342
mistralai-Mistral-7B-v0.1,None-16,1,2048,prefill,5093.208618639772
mistralai-Mistral-7B-v0.1,None-16,2,2048,prefill,5143.862567047381
mistralai-Mistral-7B-v0.1,None-16,4,2048,prefill,5216.3313362665485
mistralai-Mistral-7B-v0.1,None-16,8,2048,prefill,5142.859265594295
mistralai-Mistral-7B-v0.1,None-16,1,3072,prefill,4828.223997782645
mistralai-Mistral-7B-v0.1,None-16,2,3072,prefill,4763.752752745341
mistralai-Mistral-7B-v0.1,None-16,4,3072,prefill,4762.151948162582
mistralai-Mistral-7B-v0.1,None-16,8,3072,prefill,4881.976355055675
mistralai-Mistral-7B-v0.1,None-16,1,4000,prefill,4552.878075864903
mistralai-Mistral-7B-v0.1,None-16,2,4000,prefill,4592.2507595553625
mistralai-Mistral-7B-v0.1,None-16,4,4000,prefill,4449.775091579972
mistralai-Mistral-7B-v0.1,None-16,8,4000,prefill,4659.9773881678975
mistralai-Mistral-7B-v0.1,None-16,1,321,decoding,27.84862637873474
mistralai-Mistral-7B-v0.1,None-16,2,256,decoding,59.87857942593924
mistralai-Mistral-7B-v0.1,None-16,4,256,decoding,115.9682698728611
mistralai-Mistral-7B-v0.1,None-16,8,256,decoding,227.38217792292343
mistralai-Mistral-7B-v0.1,None-16,16,256,decoding,419.2568774983641
mistralai-Mistral-7B-v0.1,None-16,1,577,decoding,28.113111174570776
mistralai-Mistral-7B-v0.1,None-16,2,512,decoding,55.79184680784111
mistralai-Mistral-7B-v0.1,None-16,4,512,decoding,114.78999999999999
mistralai-Mistral-7B-v0.1,None-16,8,512,decoding,224.46249057026384
mistralai-Mistral-7B-v0.1,None-16,16,512,decoding,397.94711920595046
mistralai-Mistral-7B-v0.1,None-16,1,1089,decoding,30.41
mistralai-Mistral-7B-v0.1,None-16,2,1024,decoding,58.32921205437032
