model,method,bsz,prompt_len,stage,thr
meta-llama-Llama-2-7b-hf,GEAR-4,1,256,prefill,4106.689580330202
meta-llama-Llama-2-7b-hf,GEAR-4,2,256,prefill,5192.074789624241
meta-llama-Llama-2-7b-hf,GEAR-4,4,256,prefill,5473.006620438032
meta-llama-Llama-2-7b-hf,GEAR-4,8,256,prefill,5795.336355323162
meta-llama-Llama-2-7b-hf,GEAR-4,16,256,prefill,5910.91
meta-llama-Llama-2-7b-hf,GEAR-4,1,512,prefill,5079.890220699986
meta-llama-Llama-2-7b-hf,GEAR-4,2,512,prefill,5279.230373691958
meta-llama-Llama-2-7b-hf,GEAR-4,4,512,prefill,5680.093483864281
meta-llama-Llama-2-7b-hf,GEAR-4,8,512,prefill,5643.447044329313
meta-llama-Llama-2-7b-hf,GEAR-4,16,512,prefill,5583.285219837903
meta-llama-Llama-2-7b-hf,GEAR-4,1,1024,prefill,5087.489125791705
meta-llama-Llama-2-7b-hf,GEAR-4,2,1024,prefill,5389.364512617572
meta-llama-Llama-2-7b-hf,GEAR-4,4,1024,prefill,5385.579883930031
meta-llama-Llama-2-7b-hf,GEAR-4,8,1024,prefill,5401.6875268916665
meta-llama-Llama-2-7b-hf,GEAR-4,16,1024,prefill,5400.342075799087
meta-llama-Llama-2-7b-hf,GEAR-4,1,2048,prefill,5104.465031114342
meta-llama-Llama-2-7b-hf,GEAR-4,2,2048,prefill,5086.94493228001
meta-llama-Llama-2-7b-hf,GEAR-4,4,2048,prefill,5154.475368675839
meta-llama-Llama-2-7b-hf,GEAR-4,8,2048,prefill,5098.661159691535
meta-llama-Llama-2-7b-hf,GEAR-4,16,2048,prefill,5091.9273708731835
meta-llama-Llama-2-7b-hf,GEAR-4,1,3072,prefill,4709.855642827334
meta-llama-Llama-2-7b-hf,GEAR-4,2,3072,prefill,4711.475079722175
meta-llama-Llama-2-7b-hf,GEAR-4,4,3072,prefill,4765.574515290632
meta-llama-Llama-2-7b-hf,GEAR-4,8,3072,prefill,4882.487608936894
meta-llama-Llama-2-7b-hf,GEAR-4,16,3072,prefill,4736.456857056049
meta-llama-Llama-2-7b-hf,GEAR-4,1,4000,prefill,4423.432882042176
meta-llama-Llama-2-7b-hf,GEAR-4,2,4000,prefill,4444.851831070337
meta-llama-Llama-2-7b-hf,GEAR-4,4,4000,prefill,4489.041518412068
meta-llama-Llama-2-7b-hf,GEAR-4,8,4000,prefill,4580.860401740017
meta-llama-Llama-2-7b-hf,GEAR-4,16,4000,prefill,4444.1018571319755
meta-llama-Llama-2-7b-hf,GEAR-4,1,321,decoding,27.128372958624606
meta-llama-Llama-2-7b-hf,GEAR-4,2,256,decoding,59.26732556735845
meta-llama-Llama-2-7b-hf,GEAR-4,4,256,decoding,117.15637011022164
meta-llama-Llama-2-7b-hf,GEAR-4,8,256,decoding,234.92332630524504
meta-llama-Llama-2-7b-hf,GEAR-4,16,256,decoding,436.69630258051905
meta-llama-Llama-2-7b-hf,GEAR-4,1,577,decoding,30.995650365195157
meta-llama-Llama-2-7b-hf,GEAR-4,2,512,decoding,60.843766962481986
meta-llama-Llama-2-7b-hf,GEAR-4,4,512,decoding,114.98171031809092
meta-llama-Llama-2-7b-hf,GEAR-4,8,512,decoding,223.85310964164816
meta-llama-Llama-2-7b-hf,GEAR-4,16,512,decoding,386.42361139745304
meta-llama-Llama-2-7b-hf,GEAR-4,1,1089,decoding,29.980650624348037
meta-llama-Llama-2-7b-hf,GEAR-4,2,1024,decoding,59.67851102581117
meta-llama-Llama-2-7b-hf,GEAR-4,4,1024,decoding,109.34324443420745
meta-llama-Llama-2-7b-hf,GEAR-4,8,1024,decoding,201.91407086552266
meta-llama-Llama-2-7b-hf,GEAR-4,16,1024,decoding,334.4145986759762
meta-llama-Llama-2-7b-hf,GEAR-4,1,2113,decoding,26.48207050044736
meta-llama-Llama-2-7b-hf,GEAR-4,2,2048,decoding,55.58856131294115
meta-llama-Llama-2-7b-hf,GEAR-4,4,2048,decoding,99.74306553276075
meta-llama-Llama-2-7b-hf,GEAR-4,8,2048,decoding,170.70910898922776
meta-llama-Llama-2-7b-hf,GEAR-4,16,2048,decoding,254.18841944356063
meta-llama-Llama-2-7b-hf,GEAR-4,1,3137,decoding,25.94460220802488
meta-llama-Llama-2-7b-hf,GEAR-4,2,3072,decoding,53.938002386174254
meta-llama-Llama-2-7b-hf,GEAR-4,4,3072,decoding,93.50749099702017
meta-llama-Llama-2-7b-hf,GEAR-4,8,3072,decoding,145.0226178010827
meta-llama-Llama-2-7b-hf,GEAR-4,16,3072,decoding,206.73446515441793
meta-llama-Llama-2-7b-hf,GEAR-4,1,4065,decoding,25.912100612620215
meta-llama-Llama-2-7b-hf,GEAR-4,2,4000,decoding,49.838733420405454
meta-llama-Llama-2-7b-hf,GEAR-4,4,4000,decoding,86.67
meta-llama-Llama-2-7b-hf,GEAR-4,8,4000,decoding,126.57875966665269
meta-llama-Llama-2-7b-hf,GEAR-4,16,4000,decoding,179.49621001035928
meta-llama-Llama-2-13b-hf,GEAR-4,1,256,prefill,3860.424773522183
meta-llama-Llama-2-13b-hf,GEAR-4,2,256,prefill,4855.774987988222
meta-llama-Llama-2-13b-hf,GEAR-4,4,256,prefill,5090.823483916031
meta-llama-Llama-2-13b-hf,GEAR-4,8,256,prefill,5392.112653964087
meta-llama-Llama-2-13b-hf,GEAR-4,16,256,prefill,5246.603067401259
meta-llama-Llama-2-13b-hf,GEAR-4,1,512,prefill,4754.994735657993
meta-llama-Llama-2-13b-hf,GEAR-4,2,512,prefill,4899.101718774744
meta-llama-Llama-2-13b-hf,GEAR-4,4,512,prefill,5126.52059081156
meta-llama-Llama-2-13b-hf,GEAR-4,8,512,prefill,5146.276031949114
meta-llama-Llama-2-13b-hf,GEAR-4,16,512,prefill,5188.42781727176
meta-llama-Llama-2-13b-hf,GEAR-4,1,1024,prefill,4804.151081697281
meta-llama-Llama-2-13b-hf,GEAR-4,2,1024,prefill,4928.838386721751
meta-llama-Llama-2-13b-hf,GEAR-4,4,1024,prefill,4895.043100630461
meta-llama-Llama-2-13b-hf,GEAR-4,8,1024,prefill,4938.7807560125475
