model,method,bsz,prompt_len,stage,thr
meta-llama-Llama-2-7b-hf,H2O-16,1,256,prefill,2852.3862959499534
meta-llama-Llama-2-7b-hf,H2O-16,2,256,prefill,4038.08678858729
meta-llama-Llama-2-7b-hf,H2O-16,4,256,prefill,4683.985938258582
meta-llama-Llama-2-7b-hf,H2O-16,8,256,prefill,4851.093457781921
meta-llama-Llama-2-7b-hf,H2O-16,16,256,prefill,5035.989787819741
meta-llama-Llama-2-7b-hf,H2O-16,1,512,prefill,3565.026106860914
meta-llama-Llama-2-7b-hf,H2O-16,2,512,prefill,4589.399421970061
meta-llama-Llama-2-7b-hf,H2O-16,4,512,prefill,5038.386428022886
meta-llama-Llama-2-7b-hf,H2O-16,8,512,prefill,4848.960608904275
meta-llama-Llama-2-7b-hf,H2O-16,16,512,prefill,5135.374130797862
meta-llama-Llama-2-7b-hf,H2O-16,1,1024,prefill,4263.50998855046
meta-llama-Llama-2-7b-hf,H2O-16,2,1024,prefill,4534.362071694925
meta-llama-Llama-2-7b-hf,H2O-16,4,1024,prefill,4902.4899346787315
meta-llama-Llama-2-7b-hf,H2O-16,8,1024,prefill,5007.483569053562
meta-llama-Llama-2-7b-hf,H2O-16,16,1024,prefill,5093.706755245707
meta-llama-Llama-2-7b-hf,H2O-16,1,2048,prefill,4734.3252369863385
meta-llama-Llama-2-7b-hf,H2O-16,2,2048,prefill,4600.191337838054
meta-llama-Llama-2-7b-hf,H2O-16,4,2048,prefill,4767.502016777721
meta-llama-Llama-2-7b-hf,H2O-16,8,2048,prefill,4800.280699901101
meta-llama-Llama-2-7b-hf,H2O-16,16,2048,prefill,4793.9449671053735
meta-llama-Llama-2-7b-hf,H2O-16,1,3072,prefill,4436.714016733151
meta-llama-Llama-2-7b-hf,H2O-16,2,3072,prefill,4439.801954919619
meta-llama-Llama-2-7b-hf,H2O-16,4,3072,prefill,4430.833479503845
meta-llama-Llama-2-7b-hf,H2O-16,8,3072,prefill,4358.516946945179
meta-llama-Llama-2-7b-hf,H2O-16,1,4000,prefill,4146.218249455998
meta-llama-Llama-2-7b-hf,H2O-16,2,4000,prefill,4228.6260370819955
meta-llama-Llama-2-7b-hf,H2O-16,4,4000,prefill,4219.688197044495
meta-llama-Llama-2-7b-hf,H2O-16,8,4000,prefill,4219.469277412782
meta-llama-Llama-2-7b-hf,H2O-16,1,321,decoding,30.62992399640635
meta-llama-Llama-2-7b-hf,H2O-16,2,256,decoding,59.223939159189165
meta-llama-Llama-2-7b-hf,H2O-16,4,256,decoding,118.68858341160175
meta-llama-Llama-2-7b-hf,H2O-16,8,256,decoding,226.40844108520736
meta-llama-Llama-2-7b-hf,H2O-16,16,256,decoding,423.9240085046464
meta-llama-Llama-2-7b-hf,H2O-16,1,512,decoding,30.76367536422256
meta-llama-Llama-2-7b-hf,H2O-16,2,512,decoding,59.64074974750668
meta-llama-Llama-2-7b-hf,H2O-16,4,512,decoding,115.24390609236485
meta-llama-Llama-2-7b-hf,H2O-16,8,512,decoding,217.78845831141732
meta-llama-Llama-2-7b-hf,H2O-16,16,512,decoding,397.92810587210266
meta-llama-Llama-2-7b-hf,H2O-16,1,1024,decoding,31.158936874726855
meta-llama-Llama-2-7b-hf,H2O-16,2,1024,decoding,55.44443149525426
meta-llama-Llama-2-7b-hf,H2O-16,4,1024,decoding,117.52989406300286
meta-llama-Llama-2-7b-hf,H2O-16,8,1024,decoding,213.98502999141743
meta-llama-Llama-2-7b-hf,H2O-16,16,1024,decoding,396.45067328371806
