model,method,bsz,prompt_len,stage,thr
meta-llama-Llama-2-7b-hf,KIVI-4,1,256,prefill,4092.0950787240467
meta-llama-Llama-2-7b-hf,KIVI-4,2,256,prefill,5141.833986339062
meta-llama-Llama-2-7b-hf,KIVI-4,4,256,prefill,5477.058490602321
meta-llama-Llama-2-7b-hf,KIVI-4,8,256,prefill,5808.399984610992
meta-llama-Llama-2-7b-hf,KIVI-4,16,256,prefill,5691.521008529883
meta-llama-Llama-2-7b-hf,KIVI-4,1,512,prefill,4968.950459609221
meta-llama-Llama-2-7b-hf,KIVI-4,2,512,prefill,5359.902228702321
meta-llama-Llama-2-7b-hf,KIVI-4,4,512,prefill,5757.230345170336
meta-llama-Llama-2-7b-hf,KIVI-4,8,512,prefill,5756.165018923988
meta-llama-Llama-2-7b-hf,KIVI-4,16,512,prefill,5599.578722667635
meta-llama-Llama-2-7b-hf,KIVI-4,1,1024,prefill,5185.280334968539
meta-llama-Llama-2-7b-hf,KIVI-4,2,1024,prefill,5494.49460641202
meta-llama-Llama-2-7b-hf,KIVI-4,4,1024,prefill,5411.105562405542
meta-llama-Llama-2-7b-hf,KIVI-4,8,1024,prefill,5609.039441341415
meta-llama-Llama-2-7b-hf,KIVI-4,16,1024,prefill,5614.888461192493
meta-llama-Llama-2-7b-hf,KIVI-4,1,2048,prefill,5226.097815404946
meta-llama-Llama-2-7b-hf,KIVI-4,2,2048,prefill,5080.041127564994
meta-llama-Llama-2-7b-hf,KIVI-4,4,2048,prefill,5270.200483192319
meta-llama-Llama-2-7b-hf,KIVI-4,8,2048,prefill,5096.548887600596
meta-llama-Llama-2-7b-hf,KIVI-4,16,2048,prefill,5091.681437017816
meta-llama-Llama-2-7b-hf,KIVI-4,1,3072,prefill,4850.064581064085
meta-llama-Llama-2-7b-hf,KIVI-4,2,3072,prefill,4938.572625300457
meta-llama-Llama-2-7b-hf,KIVI-4,4,3072,prefill,4790.331012181951
meta-llama-Llama-2-7b-hf,KIVI-4,8,3072,prefill,5017.7511898706825
meta-llama-Llama-2-7b-hf,KIVI-4,16,3072,prefill,4981.984799665125
meta-llama-Llama-2-7b-hf,KIVI-4,1,4000,prefill,4536.780948426267
meta-llama-Llama-2-7b-hf,KIVI-4,2,4000,prefill,4653.87917610287
meta-llama-Llama-2-7b-hf,KIVI-4,4,4000,prefill,4571.912891065065
meta-llama-Llama-2-7b-hf,KIVI-4,8,4000,prefill,4528.6659113315245
meta-llama-Llama-2-7b-hf,KIVI-4,16,4000,prefill,4702.110117193281
meta-llama-Llama-2-7b-hf,KIVI-4,1,321,decoding,29.675933534224583
meta-llama-Llama-2-7b-hf,KIVI-4,2,256,decoding,61.23145234500997
meta-llama-Llama-2-7b-hf,KIVI-4,4,256,decoding,117.3438590546526
meta-llama-Llama-2-7b-hf,KIVI-4,8,256,decoding,236.92171228027559
meta-llama-Llama-2-7b-hf,KIVI-4,16,256,decoding,443.37043921402534
meta-llama-Llama-2-7b-hf,KIVI-4,1,577,decoding,26.896718071588182
meta-llama-Llama-2-7b-hf,KIVI-4,2,512,decoding,59.90269359549195
meta-llama-Llama-2-7b-hf,KIVI-4,4,512,decoding,107.43966623895315
meta-llama-Llama-2-7b-hf,KIVI-4,8,512,decoding,226.21412988133807
meta-llama-Llama-2-7b-hf,KIVI-4,16,512,decoding,407.4080027799011
meta-llama-Llama-2-7b-hf,KIVI-4,1,1089,decoding,30.67628044690432
meta-llama-Llama-2-7b-hf,KIVI-4,2,1024,decoding,59.22175753360365
meta-llama-Llama-2-7b-hf,KIVI-4,4,1024,decoding,107.1053766000026
meta-llama-Llama-2-7b-hf,KIVI-4,8,1024,decoding,201.20455614960431
