model,method,bsz,prompt_len,stage,thr
meta-llama-Llama-2-7b-hf,StreamingLLM-16,1,256,prefill,4077.61953543047
meta-llama-Llama-2-7b-hf,StreamingLLM-16,2,256,prefill,5071.086283279116
meta-llama-Llama-2-7b-hf,StreamingLLM-16,4,256,prefill,5347.400997778158
meta-llama-Llama-2-7b-hf,StreamingLLM-16,8,256,prefill,5695.119421939876
meta-llama-Llama-2-7b-hf,StreamingLLM-16,16,256,prefill,5720.574715696239
meta-llama-Llama-2-7b-hf,StreamingLLM-16,1,512,prefill,5078.13
meta-llama-Llama-2-7b-hf,StreamingLLM-16,1,1024,prefill,5197.08
meta-llama-Llama-2-7b-hf,StreamingLLM-16,2,1024,prefill,5352.752078751073
meta-llama-Llama-2-7b-hf,StreamingLLM-16,4,1024,prefill,5453.667595308291
meta-llama-Llama-2-7b-hf,StreamingLLM-16,8,1024,prefill,5361.932005764587
meta-llama-Llama-2-7b-hf,StreamingLLM-16,16,1024,prefill,5407.521716342804
meta-llama-Llama-2-7b-hf,StreamingLLM-16,1,2048,prefill,5066.019317789285
meta-llama-Llama-2-7b-hf,StreamingLLM-16,2,2048,prefill,5142.84096168381
meta-llama-Llama-2-7b-hf,StreamingLLM-16,4,2048,prefill,5125.599784107299
meta-llama-Llama-2-7b-hf,StreamingLLM-16,8,2048,prefill,5123.403254019349
meta-llama-Llama-2-7b-hf,StreamingLLM-16,16,2048,prefill,5044.715880743004
meta-llama-Llama-2-7b-hf,StreamingLLM-16,1,3072,prefill,4730.364772197318
meta-llama-Llama-2-7b-hf,StreamingLLM-16,2,3072,prefill,4794.688571482182
meta-llama-Llama-2-7b-hf,StreamingLLM-16,4,3072,prefill,4893.435762218618
meta-llama-Llama-2-7b-hf,StreamingLLM-16,8,3072,prefill,4945.840600694108
meta-llama-Llama-2-7b-hf,StreamingLLM-16,1,4000,prefill,4427.523922311877
meta-llama-Llama-2-7b-hf,StreamingLLM-16,2,4000,prefill,4451.290036911253
meta-llama-Llama-2-7b-hf,StreamingLLM-16,4,4000,prefill,4515.382294210654
