time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.187,0.205,0.2014285714285714,0.202,0.0037489227477646,0.167,0.178,0.17595,0.177,0.0023553131426627,5.0354,5.4652,5.261430000000002,5.258,0.0605404616764689,0.248,0.251,0.24955,0.2495,0.0007399324293474,1.7033999999999998,1.8363999999999996,1.8094499999999998,1.8167999999999997,0.0222617946266692,0.167,0.178,0.1760499999999999,0.177,0.0023124662159694,9.074399999999999,9.572799999999999,9.3873,9.435599999999999,0.102850619832843,0.6869999999999999,0.6953999999999999,0.6930899999999999,0.694,0.0014239030865898,4.2948,4.784800000000001,4.6854000000000005,4.7358,0.0871986238423519,0.171,0.174,0.17215,0.172,0.0006538348415311,32,32,4096,11008,32768,True,4096,1
0.188,0.208,0.2014285714285714,0.202,0.0046349749942452,0.167,0.18,0.17605,0.1765,0.0026734808770589,4.9668,5.3868,5.239450000000001,5.2272,0.06946356958867,0.248,0.253,0.2501,0.25,0.0010908712114635,1.6809999999999998,1.8699999999999997,1.8088199999999997,1.8062999999999998,0.0276533903888836,0.167,0.179,0.1760499999999999,0.176,0.0023973944189473,8.945599999999999,9.863999999999999,9.37771,9.364899999999999,0.1280770373642362,0.6856,0.6953999999999999,0.6932299999999998,0.694,0.0015644487847162,4.2346,4.8828000000000005,4.68862,4.7043,0.0978867202433506,0.171,0.174,0.1721,0.172,0.0007681145747868,32,32,4096,11008,32768,True,4096,1
0.185,0.201,0.1964285714285714,0.198,0.003982956888824,0.166,0.176,0.17345,0.174,0.0024591665254715,4.978000000000001,5.248200000000001,5.139140000000001,5.1467,0.0594187680787813,0.247,0.251,0.24825,0.248,0.001219631091765,1.688,1.8154,1.7722799999999999,1.7817999999999998,0.0240927374949381,0.166,0.176,0.17345,0.174,0.0023124662159694,9.011399999999998,9.442599999999999,9.24695,9.242399999999998,0.0844374768689827,0.6799999999999999,0.6898,0.6867199999999998,0.6869999999999999,0.0015033296378372,4.2346,4.7344,4.61043,4.644100000000001,0.0790844327285718,0.169,0.171,0.1699999999999999,0.17,0.0007071067811865,32,32,4096,11008,32768,True,4064,1
0.185,0.204,0.1983809523809524,0.199,0.004088033529778,0.164,0.175,0.1721499999999999,0.173,0.0026509432283623,5.0452,5.3182,5.217260000000001,5.2265,0.04303475339769,0.245,0.249,0.2461,0.246,0.001044030650891,1.674,1.8503999999999996,1.8033600000000003,1.8147,0.0300572786525992,0.163,0.174,0.1722,0.173,0.0026381811916545,9.0954,9.4832,9.347399999999999,9.36,0.0763694965283914,0.6758,0.6841999999999999,0.6821699999999999,0.6828,0.0016271140095272,4.2332,4.8338,4.67322,4.6945,0.1014781257217534,0.167,0.17,0.1683,0.168,0.0006403124237432,32,32,4096,11008,32768,True,4032,1
0.186,0.205,0.2011904761904762,0.202,0.0044467114399728,0.165,0.177,0.17525,0.176,0.0027179955849853,5.004600000000001,5.4862,5.306580000000001,5.3315,0.0781543984686722,0.242,0.246,0.24415,0.244,0.0011521718621802,1.8279999999999996,1.8979999999999997,1.8816899999999999,1.8874999999999997,0.0132373524543241,0.166,0.177,0.1753,0.176,0.0025317977802344,8.892399999999999,9.6932,9.494399999999999,9.542699999999998,0.1365730573722357,0.6716,0.6813999999999999,0.6795799999999999,0.6799999999999999,0.0014525839046333,4.5286,4.943,4.8872800000000005,4.9031,0.0635677591236312,0.166,0.169,0.1672499999999999,0.167,0.0007664854858377,32,32,4096,11008,32768,True,4000,1
0.187,0.202,0.199,0.2,0.0040237390808147,0.166,0.175,0.1735999999999999,0.175,0.0026907248094147,4.8506,5.1362000000000005,5.06256,5.09,0.0542332001637373,0.24,0.243,0.2422999999999999,0.2425,0.0008426149773176,1.7859999999999996,1.8377999999999999,1.8207199999999994,1.8258999999999999,0.0107777548682459,0.166,0.176,0.17335,0.175,0.003054095610815,8.6908,9.347399999999999,9.19543,9.253599999999999,0.1220362548589557,0.6673999999999999,0.6758,0.67342,0.6743999999999999,0.0016462077633154,4.5244,4.8002,4.7183,4.7372,0.0407007370940625,0.168,0.171,0.16945,0.169,0.0008046738469715,32,32,4096,11008,32768,True,3968,1
0.183,0.201,0.1961428571428571,0.199,0.0054710120443219,0.161,0.172,0.16985,0.171,0.0034391132578035,4.7288,5.1558,5.03064,5.0816,0.096699224402267,0.239,0.242,0.2405499999999999,0.241,0.000920597631976,1.7425999999999997,1.8111999999999997,1.7932099999999995,1.8055999999999996,0.0156021633115411,0.161,0.172,0.1698,0.1715,0.0036823905279043,8.575999999999999,9.420199999999998,9.155669999999999,9.269699999999998,0.167278951156444,0.6603999999999999,0.6701999999999999,0.66761,0.6688,0.0016209565077447,4.4277999999999995,4.7582,4.68939,4.7064,0.0475197590482106,0.166,0.17,0.1669,0.167,0.0009433981132056,32,32,4096,11008,32768,True,3936,1
0.181,0.197,0.1931904761904762,0.194,0.0037748421300202,0.161,0.171,0.16865,0.169,0.0024550967394381,4.3914,4.796,4.6724499999999995,4.7099,0.0871142209974926,0.239,0.241,0.23965,0.24,0.000653834841531,1.4849999999999999,1.5927999999999998,1.5581499999999997,1.5717999999999999,0.0235220641101073,0.161,0.171,0.1687,0.17,0.0028478061731796,7.8256000000000006,8.477999999999998,8.28347,8.3492,0.1410313706237019,0.6562,0.6659999999999999,0.6625700000000001,0.6631999999999999,0.0017457090250096,3.6858,4.1324000000000005,4.026,4.070100000000001,0.0841445185380485,0.168,0.17,0.16905,0.169,0.0006689544080129,32,32,4096,11008,32768,True,3904,1
0.192,0.197,0.194,0.194,0.0017728105208558,0.169,0.171,0.16975,0.1695,0.0008291561975888,4.695200000000001,4.8324,4.73867,4.7211,0.0314491255840285,0.237,0.241,0.23855,0.238,0.0013955285736952,1.555,1.6067999999999998,1.5713799999999998,1.5711,0.0104312031904282,0.168,0.171,0.16955,0.17,0.0007399324293474,8.281999999999998,8.4752,8.361729999999998,8.3527,0.0404456116284573,0.6576,0.6603999999999999,0.6585099999999999,0.6589999999999999,0.0005722761571129,4.045599999999999,4.1282,4.07024,4.047000000000001,0.0231805953331659,0.166,0.169,0.16755,0.168,0.0008046738469715,32,32,4096,11008,32768,True,3872,1
0.19,0.195,0.1919523809523809,0.191,0.0014630753805464,0.165,0.168,0.1662,0.166,0.0009797958971132,4.643400000000001,4.803,4.72516,4.7105999999999995,0.030894012364858,0.231,0.235,0.23295,0.233,0.0010712142642814,1.5563999999999998,1.5941999999999996,1.5725699999999998,1.5717999999999999,0.0099220713563247,0.165,0.168,0.16655,0.166,0.000920597631976,8.001999999999999,8.223199999999999,8.11057,8.102799999999998,0.0412364826337068,0.652,0.6548,0.6528399999999999,0.6527,0.000663324958071,4.047000000000001,4.1408,4.081650000000001,4.068,0.026135942684357,0.164,0.167,0.16515,0.165,0.0007921489758877,32,32,4096,11008,32768,True,3840,1
0.187,0.193,0.1898095238095238,0.19,0.0014349065879351,0.164,0.167,0.1658,0.166,0.0009273618495495,4.5622,4.7974000000000006,4.722430000000001,4.726,0.0351048073630948,0.229,0.234,0.23055,0.23,0.0011608186766243,1.5353999999999999,1.5899999999999999,1.5710299999999995,1.5731999999999997,0.0104425810985598,0.163,0.167,0.16595,0.166,0.000920597631976,7.855,8.214799999999999,8.07655,8.0979,0.0625058997215462,0.6464,0.6492,0.6476599999999999,0.6478,0.000435889894354,3.9686,4.1282,4.0680700000000005,4.0869,0.0277389167055961,0.163,0.165,0.16365,0.164,0.0005722761571129,32,32,4096,11008,32768,True,3808,1
